run,position_band,real_events,generated_events,real_customers,generated_customers,merchant_category_tv,real_pair_absent_from_fit,generated_pair_absent_from_fit,real_frauds,real_fraud_rate,generated_frauds,generated_fraud_rate
numeric_digit_relaxed_20260928/generated_validation_20261011,2,9180,8736,135,132,0.7646554561995739,0.0,0.7596153846153846,81,0.008823529411764706,245,0.028044871794871796
numeric_digit_relaxed_20260928/generated_validation_20261011,3,53970,50280,135,127,0.7644192411323714,0.0,0.7629077167859984,473,0.008764128219381138,75,0.0014916467780429594
numeric_digit_relaxed_20260928/generated_validation_20261011,4,110395,102678,131,120,0.7658799315471225,0.0,0.7641169481291026,437,0.003958512613795914,56,0.0005453943395858898
numeric_digit_relaxed_20260928/generated_validation_20261012,0,147,147,147,147,0.8707482993197276,0.0,0.6394557823129252,12,0.08163265306122448,50,0.3401360544217687
numeric_digit_relaxed_20260928/generated_validation_20261012,1,4305,4354,147,147,0.750806099241516,0.0,0.7388608176389527,143,0.03321718931475029,499,0.11460725769407441
numeric_digit_relaxed_20260928/generated_validation_20261012,2,9180,9068,135,137,0.7696806409668705,0.0,0.7653286281429201,81,0.008823529411764706,144,0.015880017644464048
numeric_digit_relaxed_20260928/generated_validation_20261012,3,53970,53051,135,133,0.7620888555444079,0.0,0.7604569188139715,473,0.008764128219381138,117,0.0022054249684266085
numeric_digit_relaxed_20260928/generated_validation_20261012,4,110395,109046,131,129,0.7671130243029203,0.0,0.765319223080168,437,0.003958512613795914,46,0.0004218403242668232
numeric_digit_relaxed_20260929/generated_synthetic_20261011,0,147,147,147,147,0.8707482993197276,0.0,0.5850340136054422,12,0.08163265306122448,27,0.1836734693877551
numeric_digit_relaxed_20260929/generated_synthetic_20261011,1,4305,4358,147,147,0.654687629089626,0.0,0.6307939421753098,143,0.03321718931475029,499,0.11450206516750804
numeric_digit_relaxed_20260929/generated_synthetic_20261011,2,9180,9076,135,136,0.6329327460870251,0.0,0.620427501101807,81,0.008823529411764706,426,0.04693697664169238
numeric_digit_relaxed_20260929/generated_synthetic_20261011,3,53970,52496,135,132,0.630627093985918,0.0,0.6258191100274306,473,0.008764128219381138,270,0.005143249009448339
numeric_digit_relaxed_20260929/generated_synthetic_20261011,4,110395,115482,131,126,0.6327119684768081,0.0,0.6301241751961345,437,0.003958512613795914,100,0.000865935816837256
numeric_digit_relaxed_20260929/generated_synthetic_20261012,0,147,147,147,147,0.8707482993197276,0.0,0.5986394557823129,12,0.08163265306122448,45,0.30612244897959184
numeric_digit_relaxed_20260929/generated_synthetic_20261012,1,4305,4342,147,147,0.6455326816214796,0.0,0.605251036388761,143,0.03321718931475029,1026,0.2362966374942423
numeric_digit_relaxed_20260929/generated_synthetic_20261012,2,9180,9071,135,136,0.6331163930925939,0.0,0.6199977951714254,81,0.008823529411764706,656,0.07231837724616912
