run,position_band,real_events,generated_events,real_customers,generated_customers,merchant_category_tv,real_pair_absent_from_fit,generated_pair_absent_from_fit,real_frauds,real_fraud_rate,generated_frauds,generated_fraud_rate
native_20260928/generated_validation_20261011,0,143,143,143,143,0.8951048951048951,0.0,0.6433566433566433,11,0.07692307692307693,67,0.46853146853146854
native_20260928/generated_validation_20261011,1,4204,4129,143,143,0.7288897724871469,0.0,0.7137321385323323,135,0.032112274024738346,584,0.1414386049891015
native_20260928/generated_validation_20261011,2,8976,8522,132,127,0.7299714412231152,0.0,0.7261206289603379,81,0.009024064171122994,189,0.022177892513494484
native_20260928/generated_validation_20261011,3,52770,49143,132,124,0.7304564626556482,0.0,0.7302362493132287,458,0.00867917377297707,211,0.004293592169790204
native_20260928/generated_validation_20261011,4,108786,121874,128,122,0.7312568586367778,0.0,0.7308531762311896,430,0.003952714503704521,237,0.0019446313405648457
native_20260928/generated_validation_20261012,0,143,143,143,143,0.8531468531468531,0.0,0.6713286713286714,11,0.07692307692307693,65,0.45454545454545453
native_20260928/generated_validation_20261012,1,4204,4104,143,143,0.7235321229387031,0.0,0.7054093567251462,135,0.032112274024738346,627,0.1527777777777778
native_20260928/generated_validation_20261012,2,8976,8411,132,126,0.7301462534949672,0.0,0.7246462965164665,81,0.009024064171122994,93,0.01105694923314707
native_20260928/generated_validation_20261012,3,52770,48847,132,123,0.7329866567658893,0.0,0.732532192355723,458,0.00867917377297707,152,0.0031117571191680146
native_20260928/generated_validation_20261012,4,108786,112569,128,119,0.7355652764887965,0.0,0.7348026543719852,430,0.003952714503704521,119,0.0010571294050759979
native_20260929/generated_validation_20261011,0,143,143,143,143,0.916083916083916,0.0,0.6993006993006993,11,0.07692307692307693,53,0.3706293706293706
native_20260929/generated_validation_20261011,1,4204,4270,143,143,0.7672550063840169,0.0,0.7519906323185012,135,0.032112274024738346,593,0.13887587822014053
native_20260929/generated_validation_20261011,2,8976,9060,132,134,0.7830051587161054,0.0,0.7804635761589404,81,0.009024064171122994,50,0.005518763796909493
native_20260929/generated_validation_20261011,3,52770,52402,132,132,0.7781191557574139,0.0,0.7781191557574139,458,0.00867917377297707,87,0.0016602419754971184
native_20260929/generated_validation_20261011,4,108786,147293,128,129,0.7804202151048675,0.0,0.7803086365271941,430,0.003952714503704521,137,0.000930118878697562
native_20260929/generated_validation_20261012,0,143,143,143,143,0.9370629370629371,0.0,0.7762237762237763,11,0.07692307692307693,56,0.3916083916083916
native_20260929/generated_validation_20261012,1,4204,4085,143,143,0.766890133194824,0.0,0.7525091799265606,135,0.032112274024738346,667,0.16328029375764994
